TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,CustomerAge_Binned_Encoded,Target
716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,2024-11-04 08:08:12,3,0
223.85,2023-10-02 16:36:10,Debit,Kansas City,ATM,53.0,Engineer,55.0,4.0,2929.91,2024-11-04 08:08:01,2,0
230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,2024-11-04 08:10:44,0,1
442.12,2023-12-21 16:37:03,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,2024-11-04 08:08:21,0,0
644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 08:08:04,1,1
508.67999999999995,2023-06-26 16:16:50,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,2024-11-04 08:09:32,2,2
858.63,2023-04-18 17:27:23,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,2024-11-04 08:10:47,0,1
25.36,2023-07-17 17:08:24,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,2024-11-04 08:11:05,2,2
147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,2024-11-04 08:07:22,3,2
115.02,2023-09-11 16:19:04,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,2024-11-04 08:08:38,1,0
383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,2024-11-04 08:11:07,1,1
98.54,2023-08-11 16:18:46,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,2024-11-04 08:10:02,0,2
83.24,2023-10-16 18:35:11,,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,2024-11-04 08:10:52,2,0
196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,2024-11-04 08:08:32,0,1
129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,2024-11-04 08:06:35,1,1
306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,2024-11-04 08:10:48,2,0
114.98,2023-11-01 16:52:01,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,2024-11-04 08:09:24,2,0
756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,2024-11-04 08:11:40,0,1
503.76000000000005,2023-11-27 18:32:49,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,2024-11-04 08:09:22,0,0
143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,2024-11-04 08:10:42,3,2
211.36,2023-11-22 16:13:39,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,2024-11-04 08:07:35,2,0
245.54,2023-03-21 16:29:31,,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,2024-11-04 08:10:26,0,1
254.37000000000003,2023-04-20 18:26:50,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,2024-11-04 08:06:56,2,1
213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,2024-11-04 08:09:36,3,1
327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,2024-11-04 08:06:30,1,1
2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,2024-11-04 08:09:53,2,2
300.08,2023-10-09 17:02:43,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,2024-11-04 08:12:18,3,0
56.98,2024-01-01 16:34:10,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,2.0,5688.37,2024-11-04 08:07:42,1,0
407.65,2023-07-07 16:11:38,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,,0,2
115.83,2023-05-22 17:09:52,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,2024-11-04 08:10:02,1,2
53.57,2023-08-16 16:17:12,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,2024-11-04 08:08:43,3,2
63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,2024-11-04 08:10:13,2,0
317.87,,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,2024-11-04 08:11:32,0,0
331.65,2023-08-25 17:26:07,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,2024-11-04 08:11:00,1,2
5.04,2023-11-27 16:38:34,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,2024-11-04 08:10:48,2,0
214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,2024-11-04 08:11:56,3,2
598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,2024-11-04 08:10:13,2,2
841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,2024-11-04 08:09:58,0,2
38.15,2023-09-07 16:07:40,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,2024-11-04 08:07:42,0,2
211.36,2023-07-11 16:39:53,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,2024-11-04 08:09:24,2,2
124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,2024-11-04 08:07:25,1,2
302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,2024-11-04 08:11:55,3,0
208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,2024-11-04 08:08:45,2,0
5.77,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,2024-11-04 08:10:53,0,0
381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,2024-11-04 08:09:32,2,2
16.16,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,2024-11-04 08:11:59,2,0
486.0799999999999,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,2024-11-04 08:07:03,0,2
336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,2024-11-04 08:09:57,0,1
211.36,2023-11-22 16:07:19,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,2024-11-04 08:08:25,3,0
234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,2024-11-04 08:08:47,0,2
6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,2024-11-04 08:09:43,1,0
211.36,2023-10-23 16:50:33,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,2024-11-04 08:10:34,3,0
227.14,2023-07-03 17:42:08,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,2024-11-04 08:11:34,0,2
233.74,2023-10-24 16:41:00,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,2024-11-04 08:11:17,3,0
211.36,2023-09-25 16:54:22,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,2024-11-04 08:07:21,3,0
45.85,2023-02-16 17:57:10,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,2024-11-04 08:07:24,0,1
211.36,2023-08-30 17:23:20,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,2024-11-04 08:11:44,3,2
211.36,2023-04-13 18:37:48,Debit,New York,Online,41.0,Doctor,142.0,5.0,421.93,2024-11-04 08:10:01,1,1
415.5,2023-07-28 16:29:23,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,2024-11-04 08:10:23,3,2
265.76,2023-02-06 17:48:55,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,2024-11-04 08:12:18,2,1
69.4,2023-07-24 18:08:43,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,2024-11-04 08:09:04,3,2
332.93,2023-11-20 16:29:48,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,2024-11-04 08:08:14,1,0
267.9,2023-10-09 16:52:47,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,2024-11-04 08:08:34,0,0
496.0299999999999,2023-11-03 16:45:52,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,2024-11-04 08:09:41,3,0
376.26,2023-02-15 16:41:11,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,2024-11-04 08:09:58,1,1
83.02,2023-09-04 17:59:51,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,2024-11-04 08:11:01,1,2
93.26,2023-07-27 16:22:52,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,2024-11-04 08:12:04,0,2
803.37,2023-04-17 16:08:34,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,2024-11-04 08:08:40,3,1
35.76,2023-09-19 17:38:18,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,2024-11-04 08:11:40,0,0
28.53,2023-05-31 16:37:39,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,2024-11-04 08:06:30,3,2
139.53,2023-10-09 17:20:09,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,2024-11-04 08:07:31,2,0
307.57,2023-01-09 16:12:01,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,2024-11-04 08:06:33,1,1
60.650000000000006,2023-05-26 18:15:08,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,2024-11-04 08:09:22,2,2
74.86,2023-08-14 17:43:17,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,2024-11-04 08:07:39,3,2
211.36,2023-11-24 18:51:32,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,2024-11-04 08:09:21,2,0
231.91,2023-01-31 18:31:22,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,2024-11-04 08:12:15,1,1
126.20999999999998,2023-02-14 16:07:01,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,2024-11-04 08:08:42,3,1
506.28,2023-05-02 17:03:29,Credit,Chicago,Online,53.0,Retired,162.0,2.0,1309.95,2024-11-04 08:09:09,2,1
304.35,2023-12-04 17:07:34,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,2024-11-04 08:08:45,1,0
281.85,2023-05-16 17:26:37,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,2024-11-04 08:07:38,0,2
777.88,2023-03-20 16:58:12,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,2024-11-04 08:09:15,1,1
119.18,2023-08-25 18:01:38,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,2024-11-04 08:07:34,2,2
177.19,2023-05-15 17:25:28,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,2024-11-04 08:06:30,3,2
260.88,2023-05-29 16:50:10,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,2024-11-04 08:06:52,0,2
169.47,2023-03-22 16:10:14,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,2024-11-04 08:07:37,0,1
73.23,2023-05-19 16:52:53,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,2024-11-04 08:11:12,0,2
211.36,2023-02-10 18:07:07,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,2024-11-04 08:11:05,1,1
792.57,2023-05-22 16:22:36,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,2024-11-04 08:10:39,0,2
237.06,2023-12-18 16:47:17,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,2024-11-04 08:07:50,3,0
34.17,2023-11-21 16:57:43,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,2024-11-04 08:06:29,2,0
740.25,2023-07-19 17:03:58,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,2024-11-04 08:08:27,1,2
453.54,2023-04-19 16:36:03,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,2024-11-04 08:12:06,2,1
300.47,2023-11-13 16:11:52,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,2024-11-04 08:08:00,3,0
110.93,2023-04-07 16:38:15,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,2024-11-04 08:10:53,0,1
201.69,2023-01-03 16:46:36,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,2024-11-04 08:10:16,2,1
399.21,2023-01-30 16:15:49,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,2024-11-04 08:08:21,2,1
211.36,2023-09-06 16:44:02,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,2024-11-04 08:06:44,3,2
630.36,2023-03-02 16:11:53,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,2024-11-04 08:12:15,3,1
10.94,2023-10-23 17:24:07,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,2024-11-04 08:11:53,3,0
215.9,2023-01-04 16:02:09,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,2024-11-04 08:10:23,1,1
211.36,2023-07-10 17:49:18,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,2024-11-04 08:06:50,3,2
226.37,2023-09-18 17:07:08,,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,2024-11-04 08:09:56,2,0
444.89,2023-09-11 16:27:39,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,2024-11-04 08:11:50,1,0
280.57,2023-01-27 17:35:05,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,2024-11-04 08:10:24,0,1
488.54,2023-07-03 17:47:49,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,2024-11-04 08:07:26,2,2
3.3,2023-03-27 16:42:16,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,2024-11-04 08:10:11,2,1
199.39,2023-08-21 16:16:22,,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,2024-11-04 08:09:06,3,2
20.36,2023-07-24 17:02:18,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,2024-11-04 08:11:15,3,2
113.64,2023-10-24 17:09:41,Debit,Detroit,Online,45.0,Retired,32.0,1.0,6675.03,2024-11-04 08:07:55,1,0
